"","KIR2DL1","KIR2DL2","KIR2DL3","KIR2DL4","KIR2DL5","KIR2DP1","KIR2DS1","KIR2DS2","KIR2DS3","KIR2DS4","KIR2DS5","KIR3DL1","KIR3DL2","KIR3DL3","KIR3DP1","KIR3DS1"
"KIR2DL1",47108,2540,265,0,9,317,4703,43,86,16,171,0,230,0,4,15
"KIR2DL2",3121,55109,1240,0,46,63,467,4348,45,3,26,145,31,0,0,23
"KIR2DL3",435,250,6830,0,0,2,0,12,0,0,7,6,49,0,0,0
"KIR2DL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR2DL5",130,39,60,72,58461,252,91,54,136,31,144,45,56,73,3011,0
"KIR2DP1",104,2,0,0,2,11654,3,4,7,4,0,103,0,0,6,0
"KIR2DS1",11688,958,90,0,21,95,31531,1374,201,1169,160,31,25,0,2,47
"KIR2DS2",9,2271,499,0,16,103,640,43582,830,797,759,182,1,2,5,13
"KIR2DS3",28,0,12,0,11,81,18,230,7710,0,927,0,7,0,0,0
"KIR2DS4",27,0,3,0,4,85,1072,843,3,33541,37,340,8,3,0,22
"KIR2DS5",157,34,9,0,48,19,83,215,3824,0,24103,3,23,29,68,2
"KIR3DL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR3DL2",32,0,0,0,0,0,0,0,0,0,0,0,9770,0,0,0
"KIR3DL3",0,0,0,0,1,0,0,52,0,0,0,0,0,14312,0,0
"KIR3DP1",1624,1633,957,1550,5363,1923,1121,2112,1641,381,1082,410,1183,4011,50530,787
"KIR3DS1",67,28,0,1,0,0,12,13,0,57,0,3411,193,0,0,21052
